frame,time,X,Y,x_change,y_change,velocity(cm/s),velocity(m/s)
1,0.0,19.485,13.559,0.07000000000000028,-0.38400000000000034,156.13122685741007,1.5613122685741008
2,0.0025,19.806,13.651,0.3210000000000015,0.09200000000000053,133.56945758668098,1.33569457586681
3,0.005,20.357,13.559,0.5509999999999984,-0.09200000000000053,223.45111322166136,2.2345111322166136
4,0.0075,20.633,13.559,0.2759999999999998,0.0,110.39999999999992,1.1039999999999992
5,0.01,21.001,13.559,0.3680000000000021,0.0,147.20000000000084,1.4720000000000084
6,0.0125,21.46,13.559,0.45899999999999963,0.0,183.59999999999985,1.8359999999999985
7,0.015,21.735,13.284,0.2749999999999986,-0.2749999999999986,155.56349186103967,1.5556349186103966
8,0.0175,22.103,13.559,0.3680000000000021,0.2749999999999986,183.76027862408165,1.8376027862408166
9,0.02,22.47,13.513,0.36699999999999733,-0.045999999999999375,147.9486397369022,1.4794863973690222
10,0.0225,22.7,13.559,0.23000000000000043,0.045999999999999375,93.82195905010737,0.9382195905010737
11,0.025,23.068,13.697,0.3680000000000021,0.1379999999999999,157.20966891384333,1.5720966891384334
12,0.0275,23.389,13.697,0.32099999999999795,0.0,128.39999999999918,1.2839999999999918
13,0.03,23.757,13.697,0.3680000000000021,0.0,147.20000000000084,1.4720000000000084
14,0.0325,24.032,13.651,0.2749999999999986,-0.045999999999999375,111.52829237462514,1.1152829237462514
